"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"13.03.2022","42.233,0","38.813,2","42.386,0","37.603,4","17,07B","8,81%"
"06.03.2022","38.814,3","39.396,3","42.538,5","37.182,1","20,31B","-1,48%"
"27.02.2022","39.395,8","39.116,6","45.294,2","37.062,3","6,23B","0,72%"
"20.02.2022","39.115,5","40.089,6","40.120,3","34.357,4","635,91K","-2,43%"
"13.02.2022","40.090,3","42.205,5","44.722,6","39.505,0","376,77K","-5,01%"
"06.02.2022","42.205,2","41.411,9","45.755,2","41.176,3","473,29K","1,92%"
"30.01.2022","41.412,1","38.167,5","41.899,8","36.297,3","451,36K","8,49%"
"23.01.2022","38.170,8","35.072,9","38.862,6","32.985,6","630,11K","8,83%"
"16.01.2022","35.075,2","43.079,2","43.487,1","34.116,0","541,76K","-18,61%"
"09.01.2022","43.097,0","41.681,2","44.404,7","39.697,0","391,26K","3,42%"
"02.01.2022","41.672,0","47.738,7","47.944,9","40.574,3","446,80K","-12,71%"
"26.12.2021","47.738,0","50.404,0","52.016,3","45.693,6","391,96K","-5,29%"
"19.12.2021","50.406,4","46.855,7","51.795,3","45.577,3","343,62K","7,58%"
"12.12.2021","46.856,2","49.332,5","50.779,2","45.513,4","446,80K","-4,98%"
"05.12.2021","49.314,5","49.196,4","51.918,6","46.834,0","470,49K","0,24%"
"28.11.2021","49.195,2","54.758,0","59.174,4","42.587,8","485,37K","-10,17%"
"21.11.2021","54.765,9","59.724,0","60.002,6","53.533,5","512,69K","-8,29%"
"14.11.2021","59.717,6","64.397,2","66.311,2","55.626,3","521,73K","-7,27%"
"07.11.2021","64.398,6","61.483,8","68.990,6","61.347,2","451,59K","4,74%"
"31.10.2021","61.483,9","61.842,2","64.256,4","59.612,7","375,25K","-0,58%"
"24.10.2021","61.840,1","61.308,2","63.694,8","58.112,6","449,83K","0,86%"
"17.10.2021","61.312,5","60.865,5","66.967,1","59.143,4","545,11K","0,74%"
"10.10.2021","60.861,1","54.942,5","62.892,8","54.100,8","628,28K","10,77%"
"03.10.2021","54.942,5","47.665,4","55.977,9","46.958,6","506,29K","15,26%"
"26.09.2021","47.666,9","42.685,8","48.435,2","40.786,6","486,08K","11,67%"
"19.09.2021","42.686,8","48.299,9","48.341,9","39.646,8","682,37K","-11,63%"
"12.09.2021","48.306,7","45.162,6","48.761,0","43.463,2","428,09K","6,96%"
"05.09.2021","45.161,9","49.918,7","52.885,3","43.072,4","635,39K","-9,53%"
"29.08.2021","49.918,4","48.899,7","51.008,8","46.533,1","503,54K","2,09%"
"22.08.2021","48.897,1","48.870,4","50.498,8","46.360,4","455,60K","0,04%"
"15.08.2021","48.875,8","47.082,6","49.719,1","43.986,7","404,44K","3,81%"
"08.08.2021","47.081,5","44.584,9","48.090,9","42.824,1","603,00K","5,53%"
"01.08.2021","44.614,2","41.510,0","44.697,3","37.365,4","480,25K","7,37%"
"25.07.2021","41.553,7","34.392,5","42.285,3","33.881,3","772,12K","22,85%"
"18.07.2021","33.824,8","31.517,9","33.955,0","29.310,2","547,54K","7,32%"
"11.07.2021","31.518,6","33.510,8","34.598,0","31.062,2","444,39K","-5,94%"
"04.07.2021","33.510,6","34.742,8","35.957,6","32.146,9","538,72K","-3,55%"
"27.06.2021","34.742,8","32.247,1","36.590,3","32.041,7","644,50K","7,75%"
"20.06.2021","32.243,4","35.510,9","36.097,9","28.901,8","1,38M","-9,21%"
"13.06.2021","35.513,4","35.467,5","41.318,0","34.827,0","869,90K","0,13%"
"06.06.2021","35.467,5","35.518,7","38.340,8","31.158,1","955,16K","-0,15%"
"30.05.2021","35.520,0","34.589,3","39.462,3","33.441,0","795,23K","2,70%"
"23.05.2021","34.584,6","37.446,8","40.750,0","31.192,4","1,36M","-7,65%"
"16.05.2021","37.448,3","46.729,3","49.764,3","30.261,7","2,10M","-19,83%"
"09.05.2021","46.708,8","58.840,6","59.523,9","46.331,1","971,69K","-20,62%"
"02.05.2021","58.840,1","57.807,2","59.471,1","53.741,5","714,62K","1,79%"
"25.04.2021","57.807,1","50.088,2","58.449,4","47.098,5","650,34K","15,41%"
"18.04.2021","50.088,9","60.043,2","60.362,1","47.659,4","1,12M","-16,58%"
"11.04.2021","60.041,9","59.772,4","64.778,0","59.250,3","738,10K","0,49%"
"04.04.2021","59.748,4","57.059,7","61.229,0","55.489,3","478,37K","4,71%"
"28.03.2021","57.059,9","55.856,9","60.134,9","54.711,3","551,09K","2,14%"
"21.03.2021","55.862,9","58.097,4","58.583,8","50.441,3","736,81K","-3,84%"